CINUM,SOURCECI,RELATIONNUM,TARGETCI,ISPRIMARYFIREWALL,Import_Error
F5VIP-10.20.129.60: 17839,F5VIP-10.20.129.60: 17839,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17840,F5VIP-10.20.129.60: 17840,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17841,F5VIP-10.20.129.60: 17841,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17842,F5VIP-10.20.129.60: 17842,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17843,F5VIP-10.20.129.60: 17843,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17844,F5VIP-10.20.129.60: 17844,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17845,F5VIP-10.20.129.60: 17845,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17846,F5VIP-10.20.129.60: 17846,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17847,F5VIP-10.20.129.60: 17847,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17848,F5VIP-10.20.129.60: 17848,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17849,F5VIP-10.20.129.60: 17849,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 17850,F5VIP-10.20.129.60: 17850,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.60: 19826,F5VIP-10.20.129.60: 19826,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.20.129.109: 17848,F5VIP-10.20.129.109: 17848,RELATION.LOADBALANCES,SERVER-10.20.129.38,,
F5VIP-10.19.26.68: 443,F5VIP-10.19.26.68: 443,RELATION.LOADBALANCES,SERVER-10.19.26.67,,
F5VIP-10.19.26.68: 80,F5VIP-10.19.26.68: 80,RELATION.LOADBALANCES,SERVER-10.19.26.67,,
F5VIP-10.19.245.24: 443,F5VIP-10.19.245.24: 443,RELATION.LOADBALANCES,SERVER-10.19.245.21,,
F5VIP-10.190.4.199: 3443,F5VIP-10.190.4.199: 3443,RELATION.LOADBALANCES,SERVER-10.190.4.198,,
F5VIP-10.190.4.199: 443,F5VIP-10.190.4.199: 443,RELATION.LOADBALANCES,SERVER-10.190.4.198,,
F5VIP-10.190.4.199: 4443,F5VIP-10.190.4.199: 4443,RELATION.LOADBALANCES,SERVER-10.190.4.198,,
F5VIP-10.190.4.199: 8443,F5VIP-10.190.4.199: 8443,RELATION.LOADBALANCES,SERVER-10.190.4.195,,
F5VIP-10.190.6.199: 443,F5VIP-10.190.6.199: 443,RELATION.LOADBALANCES,SERVER-10.190.6.198,,
F5VIP-10.190.6.199: 8443,F5VIP-10.190.6.199: 8443,RELATION.LOADBALANCES,SERVER-10.190.6.195,,
F5VIP-10.190.6.39: 3443,F5VIP-10.190.6.39: 3443,RELATION.LOADBALANCES,SERVER-10.190.6.38,,
F5VIP-10.190.6.39: 7080,F5VIP-10.190.6.39: 7080,RELATION.LOADBALANCES,SERVER-10.190.6.35,,
F5VIP-10.190.6.39: 6443,F5VIP-10.190.6.39: 6443,RELATION.LOADBALANCES,SERVER-10.190.6.35,,
F5VIP-10.190.6.39: 8090,F5VIP-10.190.6.39: 8090,RELATION.LOADBALANCES,SERVER-10.190.6.35,,
F5VIP-10.190.6.39: 5443,F5VIP-10.190.6.39: 5443,RELATION.LOADBALANCES,SERVER-10.190.6.35,,
F5VIP-10.190.6.39: 7443,F5VIP-10.190.6.39: 7443,RELATION.LOADBALANCES,SERVER-10.190.6.35,,
F5VIP-10.190.6.39: 80,F5VIP-10.190.6.39: 80,RELATION.LOADBALANCES,SERVER-10.190.6.38,,
F5VIP-10.190.6.39: 9443,F5VIP-10.190.6.39: 9443,RELATION.LOADBALANCES,SERVER-10.190.6.35,,
F5VIP-10.190.6.39: 443,F5VIP-10.190.6.39: 443,RELATION.LOADBALANCES,SERVER-10.190.6.38,,
F5VIP-10.190.6.39: 8443,F5VIP-10.190.6.39: 8443,RELATION.LOADBALANCES,SERVER-10.190.6.35,,
F5VIP-10.190.6.39: 4443,F5VIP-10.190.6.39: 4443,RELATION.LOADBALANCES,SERVER-10.190.6.35,,
F5VIP-10.190.130.118: 443,F5VIP-10.190.130.118: 443,RELATION.LOADBALANCES,SERVER-10.190.130.117,,
F5VIP-10.20.127.36: 443,F5VIP-10.20.127.36: 443,RELATION.LOADBALANCES,SERVER-10.20.127.35,,
F5VIP-10.19.35.62: 443,F5VIP-10.19.35.62: 443,RELATION.LOADBALANCES,SERVER-10.19.35.61,,
F5VIP-10.19.251.102: 443,F5VIP-10.19.251.102: 443,RELATION.LOADBALANCES,SERVER-10.19.251.101,,
F5VIP-10.19.251.102: 80,F5VIP-10.19.251.102: 80,RELATION.LOADBALANCES,SERVER-10.19.251.101,,
F5VIP-10.19.25.112: 443,F5VIP-10.19.25.112: 443,RELATION.LOADBALANCES,SERVER-10.19.25.105,,
F5VIP-10.19.25.112: 80,F5VIP-10.19.25.112: 80,RELATION.LOADBALANCES,SERVER-10.19.25.105,,
F5VIP-10.19.25.212: 443,F5VIP-10.19.25.212: 443,RELATION.LOADBALANCES,SERVER-10.19.25.220,,
F5VIP-10.19.25.212: 80,F5VIP-10.19.25.212: 80,RELATION.LOADBALANCES,SERVER-10.19.25.220,,
F5VIP-10.19.37.180: 443,F5VIP-10.19.37.180: 443,RELATION.LOADBALANCES,SERVER-10.19.37.182,,
F5VIP-10.19.37.180: 80,F5VIP-10.19.37.180: 80,RELATION.LOADBALANCES,SERVER-10.19.37.182,,
F5VIP-10.19.37.180: 9443,F5VIP-10.19.37.180: 9443,RELATION.LOADBALANCES,SERVER-10.19.37.182,,
F5VIP-10.19.255.100: 443,F5VIP-10.19.255.100: 443,RELATION.LOADBALANCES,SERVER-10.19.255.102,,
F5VIP-10.19.255.100: 80,F5VIP-10.19.255.100: 80,RELATION.LOADBALANCES,SERVER-10.19.255.102,,
F5VIP-10.19.25.69: 22623,F5VIP-10.19.25.69: 22623,RELATION.LOADBALANCES,SERVER-10.19.25.71,,
F5VIP-10.19.25.70: 443,F5VIP-10.19.25.70: 443,RELATION.LOADBALANCES,SERVER-10.19.25.74,,
F5VIP-10.19.25.69: 6443,F5VIP-10.19.25.69: 6443,RELATION.LOADBALANCES,SERVER-10.19.25.71,,
F5VIP-10.19.25.70: 80,F5VIP-10.19.25.70: 80,RELATION.LOADBALANCES,SERVER-10.19.25.74,,
F5VIP-10.19.25.200: 443,F5VIP-10.19.25.200: 443,RELATION.LOADBALANCES,SERVER-10.19.25.205,,
F5VIP-10.19.25.199: 22623,F5VIP-10.19.25.199: 22623,RELATION.LOADBALANCES,SERVER-10.19.25.201,,
F5VIP-10.19.25.199: 6443,F5VIP-10.19.25.199: 6443,RELATION.LOADBALANCES,SERVER-10.19.25.201,,
F5VIP-10.19.25.200: 80,F5VIP-10.19.25.200: 80,RELATION.LOADBALANCES,SERVER-10.19.25.205,,
F5VIP-10.19.28.192: 443,F5VIP-10.19.28.192: 443,RELATION.LOADBALANCES,SERVER-10.19.28.195,,
F5VIP-10.19.28.160: 443,F5VIP-10.19.28.160: 443,RELATION.LOADBALANCES,SERVER-10.19.28.163,,
F5VIP-10.20.21.104: 443,F5VIP-10.20.21.104: 443,RELATION.LOADBALANCES,SERVER-10.20.21.99,,
F5VIP-10.20.21.104: 8443,F5VIP-10.20.21.104: 8443,RELATION.LOADBALANCES,SERVER-10.20.21.99,,
F5VIP-10.20.21.70: 443,F5VIP-10.20.21.70: 443,RELATION.LOADBALANCES,SERVER-10.20.21.67,,
F5VIP-10.20.21.70: 8443,F5VIP-10.20.21.70: 8443,RELATION.LOADBALANCES,SERVER-10.20.21.67,,
F5VIP-10.19.57.40: 443,F5VIP-10.19.57.40: 443,RELATION.LOADBALANCES,SERVER-10.19.57.35,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.57.40: 8443,F5VIP-10.19.57.40: 8443,RELATION.LOADBALANCES,SERVER-10.19.57.35,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.245.230: 443,F5VIP-10.19.245.230: 443,RELATION.LOADBALANCES,SERVER-10.19.245.227,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.245.230: 8443,F5VIP-10.19.245.230: 8443,RELATION.LOADBALANCES,SERVER-10.19.245.227,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.22.75.165: 443,F5VIP-10.22.75.165: 443,RELATION.LOADBALANCES,SERVER-10.22.75.163,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.22.246.135: 443,F5VIP-10.22.246.135: 443,RELATION.LOADBALANCES,SERVER-10.22.246.131,,"CTGCC1046I - The CIRelation has not been saved, because the CI must exist before you can save the CIRelation."
F5VIP-10.19.249.232: 80,F5VIP-10.19.249.232: 80,RELATION.LOADBALANCES,SERVER-10.19.249.228,,
F5VIP-10.19.71.36: 19005,F5VIP-10.19.71.36: 19005,RELATION.LOADBALANCES,SERVER-10.19.71.35,,
F5VIP-10.19.89.139: 443,F5VIP-10.19.89.139: 443,RELATION.LOADBALANCES,SERVER-10.19.89.135,,
F5VIP-10.19.30.138: 443,F5VIP-10.19.30.138: 443,RELATION.LOADBALANCES,SERVER-10.19.30.134,,
F5VIP-10.19.30.138: 8443,F5VIP-10.19.30.138: 8443,RELATION.LOADBALANCES,SERVER-10.19.30.134,,
F5VIP-10.19.30.138: 80,F5VIP-10.19.30.138: 80,RELATION.LOADBALANCES,SERVER-10.19.30.134,,
F5VIP-10.19.30.138: 8444,F5VIP-10.19.30.138: 8444,RELATION.LOADBALANCES,SERVER-10.19.30.134,,
F5VIP-10.19.23.50: 443,F5VIP-10.19.23.50: 443,RELATION.LOADBALANCES,SERVER-10.19.23.52,,
F5VIP-10.19.23.50: 80,F5VIP-10.19.23.50: 80,RELATION.LOADBALANCES,SERVER-10.19.23.52,,
F5VIP-10.19.46.67: 80,F5VIP-10.19.46.67: 80,RELATION.LOADBALANCES,SERVER-10.19.46.69,,
F5VIP-10.19.32.10: 443,F5VIP-10.19.32.10: 443,RELATION.LOADBALANCES,SERVER-10.19.32.3,,
F5VIP-10.19.32.10: 80,F5VIP-10.19.32.10: 80,RELATION.LOADBALANCES,SERVER-10.19.32.3,,
F5VIP-10.19.193.10: 80,F5VIP-10.19.193.10: 80,RELATION.LOADBALANCES,SERVER-10.19.193.11,,
F5VIP-10.19.193.10: 443,F5VIP-10.19.193.10: 443,RELATION.LOADBALANCES,SERVER-10.19.193.11,,
F5VIP-10.19.193.10: 8098,F5VIP-10.19.193.10: 8098,RELATION.LOADBALANCES,SERVER-10.19.193.11,,
F5VIP-10.19.193.10: 8125,F5VIP-10.19.193.10: 8125,RELATION.LOADBALANCES,SERVER-10.19.193.11,,
F5VIP-10.19.248.116: 443,F5VIP-10.19.248.116: 443,RELATION.LOADBALANCES,SERVER-10.19.248.115,,
F5VIP-10.22.246.70: 443,F5VIP-10.22.246.70: 443,RELATION.LOADBALANCES,SERVER-10.22.246.67,,
F5VIP-10.19.245.70: 12920,F5VIP-10.19.245.70: 12920,RELATION.LOADBALANCES,SERVER-10.19.245.77,,
F5VIP-10.19.245.70: 443,F5VIP-10.19.245.70: 443,RELATION.LOADBALANCES,SERVER-10.19.245.77,,
F5VIP-10.19.245.70: 7443,F5VIP-10.19.245.70: 7443,RELATION.LOADBALANCES,SERVER-10.19.245.77,,
F5VIP-10.19.245.70: 8443,F5VIP-10.19.245.70: 8443,RELATION.LOADBALANCES,SERVER-10.19.245.77,,
F5VIP-10.19.245.70: 9443,F5VIP-10.19.245.70: 9443,RELATION.LOADBALANCES,SERVER-10.19.245.77,,
F5VIP-10.19.57.136: 443,F5VIP-10.19.57.136: 443,RELATION.LOADBALANCES,SERVER-10.19.57.132,,
F5VIP-10.19.57.180: 443,F5VIP-10.19.57.180: 443,RELATION.LOADBALANCES,SERVER-10.19.57.179,,
F5VIP-10.19.187.199: 443,F5VIP-10.19.187.199: 443,RELATION.LOADBALANCES,SERVER-10.19.187.197,,
F5VIP-10.19.187.198: 443,F5VIP-10.19.187.198: 443,RELATION.LOADBALANCES,SERVER-10.19.187.195,,
F5VIP-10.19.187.198: 444,F5VIP-10.19.187.198: 444,RELATION.LOADBALANCES,SERVER-10.19.187.195,,
F5VIP-10.19.187.138: 443,F5VIP-10.19.187.138: 443,RELATION.LOADBALANCES,SERVER-10.19.187.135,,
F5VIP-10.19.187.137: 443,F5VIP-10.19.187.137: 443,RELATION.LOADBALANCES,SERVER-10.19.187.133,,
F5VIP-10.19.187.136: 443,F5VIP-10.19.187.136: 443,RELATION.LOADBALANCES,SERVER-10.19.187.131,,
F5VIP-10.19.249.164: 443,F5VIP-10.19.249.164: 443,RELATION.LOADBALANCES,SERVER-10.19.249.163,,
F5VIP-10.19.250.14: 80,F5VIP-10.19.250.14: 80,RELATION.LOADBALANCES,SERVER-10.19.250.11,,
F5VIP-10.19.250.14: 443,F5VIP-10.19.250.14: 443,RELATION.LOADBALANCES,SERVER-10.19.250.11,,
F5VIP-10.19.251.14: 80,F5VIP-10.19.251.14: 80,RELATION.LOADBALANCES,SERVER-10.19.251.11,,
F5VIP-10.19.251.14: 443,F5VIP-10.19.251.14: 443,RELATION.LOADBALANCES,SERVER-10.19.251.11,,
F5VIP-10.19.47.68: 443,F5VIP-10.19.47.68: 443,RELATION.LOADBALANCES,SERVER-10.19.47.67,,
F5VIP-10.19.248.148: 443,F5VIP-10.19.248.148: 443,RELATION.LOADBALANCES,SERVER-10.19.248.147,,
F5VIP-10.19.47.85: 443,F5VIP-10.19.47.85: 443,RELATION.LOADBALANCES,SERVER-10.19.47.83,,
F5VIP-10.19.151.35: 993,F5VIP-10.19.151.35: 993,RELATION.LOADBALANCES,SERVER-10.19.151.44,,
F5VIP-10.19.151.35: 110,F5VIP-10.19.151.35: 110,RELATION.LOADBALANCES,SERVER-10.19.151.44,,
F5VIP-10.19.151.35: 995,F5VIP-10.19.151.35: 995,RELATION.LOADBALANCES,SERVER-10.19.151.44,,
F5VIP-10.19.151.60: 143,F5VIP-10.19.151.60: 143,RELATION.LOADBALANCES,SERVER-10.19.151.44,,
F5VIP-10.19.151.60: 993,F5VIP-10.19.151.60: 993,RELATION.LOADBALANCES,SERVER-10.19.151.44,,
F5VIP-10.19.151.60: 110,F5VIP-10.19.151.60: 110,RELATION.LOADBALANCES,SERVER-10.19.151.44,,
F5VIP-10.19.151.60: 995,F5VIP-10.19.151.60: 995,RELATION.LOADBALANCES,SERVER-10.19.151.44,,
F5VIP-10.19.151.120: 25,F5VIP-10.19.151.120: 25,RELATION.LOADBALANCES,SERVER-10.19.151.49,,
F5VIP-10.19.254.25: 25,F5VIP-10.19.254.25: 25,RELATION.LOADBALANCES,SERVER-10.19.254.7,,
F5VIP-10.19.254.30: 587,F5VIP-10.19.254.30: 587,RELATION.LOADBALANCES,SERVER-10.19.254.7,,
F5VIP-10.19.254.30: 25,F5VIP-10.19.254.30: 25,RELATION.LOADBALANCES,SERVER-10.19.254.7,,
F5VIP-10.19.245.104: 443,F5VIP-10.19.245.104: 443,RELATION.LOADBALANCES,SERVER-10.19.245.101,,
F5VIP-10.20.128.235: 443,F5VIP-10.20.128.235: 443,RELATION.LOADBALANCES,SERVER-10.20.128.232,,
F5VIP-10.20.128.227: 443,F5VIP-10.20.128.227: 443,RELATION.LOADBALANCES,SERVER-10.20.128.229,,
F5VIP-10.20.128.227: 80,F5VIP-10.20.128.227: 80,RELATION.LOADBALANCES,SERVER-10.20.128.229,,
F5VIP-10.19.135.144: 443,F5VIP-10.19.135.144: 443,RELATION.LOADBALANCES,SERVER-10.19.135.136,,
F5VIP-10.19.135.114: 443,F5VIP-10.19.135.114: 443,RELATION.LOADBALANCES,SERVER-10.19.135.106,,
F5VIP-10.19.63.84: 443,F5VIP-10.19.63.84: 443,RELATION.LOADBALANCES,SERVER-10.19.63.83,,
F5VIP-10.19.139.12: 80,F5VIP-10.19.139.12: 80,RELATION.LOADBALANCES,SERVER-10.19.139.11,,
F5VIP-10.19.251.170: 80,F5VIP-10.19.251.170: 80,RELATION.LOADBALANCES,SERVER-10.19.251.166,,
F5VIP-10.20.129.197: 443,F5VIP-10.20.129.197: 443,RELATION.LOADBALANCES,SERVER-10.20.129.196,,
F5VIP-10.19.25.137: 10090,F5VIP-10.19.25.137: 10090,RELATION.LOADBALANCES,SERVER-10.19.25.136,,
F5VIP-10.19.37.170: 80,F5VIP-10.19.37.170: 80,RELATION.LOADBALANCES,SERVER-10.19.37.166,,
F5VIP-10.19.37.170: 443,F5VIP-10.19.37.170: 443,RELATION.LOADBALANCES,SERVER-10.19.37.166,,
F5VIP-10.19.25.137: 443,F5VIP-10.19.25.137: 443,RELATION.LOADBALANCES,SERVER-10.19.25.136,,
F5VIP-10.19.253.40: 80,F5VIP-10.19.253.40: 80,RELATION.LOADBALANCES,SERVER-10.19.253.42,,
F5VIP-10.19.255.232: 443,F5VIP-10.19.255.232: 443,RELATION.LOADBALANCES,SERVER-10.19.255.231,,
F5VIP-10.19.32.70: 443,F5VIP-10.19.32.70: 443,RELATION.LOADBALANCES,SERVER-10.19.32.67,,
F5VIP-10.19.32.70: 80,F5VIP-10.19.32.70: 80,RELATION.LOADBALANCES,SERVER-10.19.32.67,,
F5VIP-10.19.50.167: 7080,F5VIP-10.19.50.167: 7080,RELATION.LOADBALANCES,SERVER-10.19.50.165,,
F5VIP-10.19.50.167: 7443,F5VIP-10.19.50.167: 7443,RELATION.LOADBALANCES,SERVER-10.19.50.165,,
F5VIP-10.19.50.167: 6080,F5VIP-10.19.50.167: 6080,RELATION.LOADBALANCES,SERVER-10.19.50.163,,
F5VIP-10.19.50.167: 6443,F5VIP-10.19.50.167: 6443,RELATION.LOADBALANCES,SERVER-10.19.50.163,,
F5VIP-10.19.248.68: 443,F5VIP-10.19.248.68: 443,RELATION.LOADBALANCES,SERVER-10.19.248.67,,
F5VIP-10.19.248.68: 80,F5VIP-10.19.248.68: 80,RELATION.LOADBALANCES,SERVER-10.19.248.67,,
F5VIP-10.19.138.150: 80,F5VIP-10.19.138.150: 80,RELATION.LOADBALANCES,SERVER-10.19.138.149,,
F5VIP-10.19.138.150: 8001,F5VIP-10.19.138.150: 8001,RELATION.LOADBALANCES,SERVER-10.19.138.149,,
